Coeffecient,Weight
"Distance",0.032196
"Rooms",0.499543
"Car",0.000017
"YearBuilt",-2.703409
"Longtitude",-0.803282
"Lattitude",-2.889319
"Landsize",0.000016
"BuildingArea",0.000853
"Propertycount",0.000002
"Bedroom2",0.001010
"Bathroom",0.103717
"0",-0.000280
"h",0.213798
"t",0.016200
"u",-0.229998
"PI",-0.038312
"S",0.051713
"SA",0.002268
"SP",0.023156
"VB",-0.038826
"Banyule",-0.027466
"Bayside",-0.004197
"Boroondara",0.024421
"Brimbank",-0.128285
"Cardinia",1.131041
"Casey",-0.156402
"Darebin",0.005689
"Frankston",-0.155237
"Glen Eira",-0.092071
"Greater Dandenong",0.012099
"Hobsons Bay",-0.119279
"Hume",0.026054
"Kingston",-0.145662
"Knox",-0.054270
"Macedon Ranges",0.217141
"Manningham",0.100196
"Maribyrnong",-0.150833
"Maroondah",-0.037280
"Melbourne",0.035711
"Melton",-0.110565
"Monash",-0.015025
"Moonee Valley",0.018862
"Moorabool",0.000000
"Moreland",-0.000844
"Nillumbik",-0.018516
"Port Phillip",-0.039998
"Stonnington",-0.088905
"Unavailable",-0.035732
"Whitehorse",-0.006114
"Whittlesea",-0.044353
"Wyndham",-0.032714
"Yarra",-0.077825
"Yarra Ranges",-0.029641
"3000.0",-0.032633
"3002.0",0.604742
"3003.0",0.065728
"3006.0",-0.099420
"3008.0",0.000000
"3011.0",-0.194104
"3012.0",-0.317693
"3013.0",-0.146690
"3015.0",-0.281896
"3016.0",-0.099277
"3018.0",-0.305149
"3019.0",-0.430637
"3020.0",-0.483899
"3021.0",-0.541469
"3022.0",-0.560475
"3023.0",-0.568330
"3024.0",-0.622111
"3025.0",-0.546967
"3027.0",-0.816638
"3028.0",-0.876894
"3029.0",-1.077947
"3030.0",-1.349483
"3031.0",-0.113617
"3032.0",-0.130997
"3033.0",-0.336843
"3034.0",-0.432075
"3036.0",-0.306397
"3037.0",-0.411190
"3038.0",-0.401061
"3039.0",-0.087216
"3040.0",0.006637
"3041.0",-0.028512
"3042.0",-0.140891
"3043.0",-0.396384
"3044.0",-0.176984
"3046.0",-0.208866
"3047.0",-0.425477
"3048.0",-0.334328
"3049.0",-0.439521
"3051.0",0.050196
"3052.0",0.332555
"3053.0",0.087219
"3054.0",0.394522
"3055.0",-0.138979
"3056.0",-0.000169
"3057.0",0.039352
"3058.0",-0.149306
"3059.0",0.002020
"3060.0",-0.285891
"3061.0",-0.267311
"3064.0",-0.068773
"3065.0",0.333468
"3066.0",0.221587
"3067.0",0.185857
"3068.0",0.254236
"3070.0",0.181316
"3071.0",0.066740
"3072.0",-0.087934
"3073.0",-0.182555
"3074.0",-0.088777
"3075.0",-0.110444
"3076.0",0.092821
"3078.0",0.130315
"3079.0",0.110959
"3081.0",-0.305850
"3082.0",-0.001581
"3083.0",-0.134491
"3084.0",-0.032471
"3085.0",-0.049919
"3087.0",0.040305
"3088.0",0.090207
"3089.0",0.543003
"3093.0",0.405622
"3094.0",-0.136499
"3095.0",0.015086
"3099.0",0.765445
"3101.0",0.100017
"3102.0",0.128551
"3103.0",0.229562
"3104.0",0.152996
"3105.0",-0.188480
"3106.0",0.002921
"3107.0",-0.152193
"3108.0",-0.091368
"3109.0",-0.024181
"3111.0",0.096655
"3113.0",0.231330
"3115.0",0.000000
"3116.0",0.691774
"3121.0",0.150827
"3122.0",0.024855
"3123.0",0.007266
